annotation_id,brand,industry,role,text,label,notes
10,H&M,fashion,greenwashing,"During the year our greenhouse gas emissions in Scope 1 and 2 decreased by 41 percent and in Scope 3 by 34.6 percent. Read more in the sustain ability statement on page 72. - An operating margin that exceeds 10 percent. - A 56 percent absolute reduction in greenhouse gas emissions no later than 2030, with 2019 as a baseline. Refers to science-based targets for own operations (Scope 1 & 2) and for the company’s entire value chain (Scope 3) and excludes indirect use-phase emissions.",2,41% S1/2 and 34.6% S3 reductions cited — reasonably substantiated
11,H&M,fashion,greenwashing,"In 2025, we identified an error in the reporting of Tier 1 production units with Health & Safety Committees for 2024 that has been corrected in this year’s report. We have also aligned the observation period for commercial materials with the financial year and excluded textile labels from the scope of the total packaging volume, see details on page 88. We continually work to improve estimation methods for GHG emissions and this year Scope 3 categories 1, 4, 5, 6 and 12 have been updated, see details on pages 80–81. For these results prior-period figures have been revised and the difference between the figure disclosed in the preceding period and the revised comparative figure is disclosed in connection to the result. We have adhered to the time horizons specified in the ESRS.",0,Error correction and methodology note — out of scope
12,H&M,fashion,greenwashing,"They were also supported by the shift to cleaner energy Biogenic emissions related to activities reported under Scope 1, 2 and 3 have not been calculated for 2025. In terms of governance, 10 percent of remuneration in the long-term incentive programme (‘LTIP 2025’) was linked to climate-related considerations, supporting accountability for climate performance. Energy consumption and mix in own operations Energy consumption and mix in own operations --2025 2024 2023 2019 Total fossil energy consumption (MWh) 147,347 153,899 177,540 227,826 Percentage of fossil sources in total energy consumption (%) 13 13 15 13 Total fossil fuel consumption (MWh) 78,535 77,844 78,426 109,413 Fuel consumption from coal and coal products (MWh) 0 0 0 0 Fuel consumption from crude oil and petroleum products (MWh) 11,304 13,266 12,714 17,567 Fuel consumption from natural gas (MWh) 67,231 64,578 65,712 91,846 Fuel consumption from other fossil sources (MWh) 0 0 0 0 Consumption of purchased or acquired electricity, heat, steam, and cooling 68,812 76,055 99,114 118,414 from fossil sources (MWh)1 Consumption from nuclear sources (MWh) 8,205 N/A N/A N/A Percentage of consumption from nuclear sources in total energy consumption (%) 1 N/A N/A N/A Total renewable energy consumption (MWh) 991,316 1,019,965 1,041,762 1,593,835 Percentage of renewable sources in total energy consumption (%) 86 87 85 87 Fuel consumption for renewable sources, including biomass (also comprising industrial 0 0 0 0 and municipal waste of biologic origin, biogas, renewable hydrogen, etc.) (MWh) The consumption of self-generated non-fuel renewable energy (MWh) 6,187 5,823 4,771 0 Consumption of purchased or acquired electricity, heat, steam, and cooling 985,129 1,014,142 1,036,991 1,593,835 from renewable sources (MWh) Renewable energy production(in MWh) 6,199 5,843 4,771 0 Total energy consumption (MWh) 1,146,868 1,173,864 1,219,302 1,821,661 Total energy consumption for activities in high climate impact sectors (MWh)2 1,146,868 1,173,864 1,219,302 1,821,661 Total electricity consumption in own operations (MWh) 1,040,986 1,073,674 1,118,172 1,660,243 Share of renewable electricity in own operations (%) 95 96 94 96 Share of electricity from power purchase agreements with new renewable 49.1 19.6 10.2 0 electricity generation (%) Achieved GHG emissions reductions 2025 Retrospective Targets --2024 2023 Baseline (2019) Comparison (2025/2024 %) 2030 2040 Annual % 2030 target / baseline Comparison (2025/2019 %) Scope 1 GHG emissions Gross Scope 1 GHG emissions (tCO2e) 17,039 Percentage of Scope 1 GHG emissions from regulated emission trading schemes (%) 0 Scope 2 GHG emissions Gross location–based Scope 2 GHG emissions (tCO2e) 337,786 Gross market–based Scope 2 GHG emissions(tCO2e) 25,131 17,002 17,050 22,738 0.2 0 0 0 0 372,984 378,730 658,763 –9.4 28,492 40,554 48,735 –11.8 –25.1 0 –48.7 –48.4 Total Scope 1 and 2 GHG emissions (tCO₂e) 42,170 Scope 3 GHG emissions (tCO₂e) 1. Purchased goods and services Raw material 1,113,000 Fabric production 2,164,000 Garment manufacturing 212,000 Non–garment goods 256,000 Packaging 103,000 Other expenditures 378,000 2.",2,Biogenic emissions not calculated — partial disclosure; LTIP climate link noted
13,H&M,fashion,greenwashing,"Emission factors from IEA (2025) and US EPA (2025). Non-garment goods – Includes non-textile accessories and non-textile goods. Calculations are based on material weights and HIGG MSI emission factors (2025), and average emissions per piece based on primary data or the HIGG FEM database (2025). Where exact product specifications are missing, conservative assumptions are applied. - Packaging – Calculations are based on material weights and HIGG MSI emission factors (2025).",0,Emission factor methodology note — out of scope
14,H&M,fashion,greenwashing,"The cost of goods sold includes all costs of designing, procuring and transporting goods. Examples of costs included in this, other than the pure sourcing cost of the products, are shipping, customs duties, environmental levies, payroll and the cost of premises for the buying department, IT costs related to buying and logistics as well as handling costs in the distribution centres and shipping costs from warehouses to stores. Selling expenses include store expenses such as salaries and rents, marketing costs, handling costs in replenishment warehouses for stores, shipping costs to online customers, IT costs related to stores and sales, as well as central support functions related to sales. The item administrative expenses include the costs of other central support functions, such as salaries, rents and IT costs for administrative systems. For information on payroll see note 8, and for depreciation, amortisation and write-downs see note 10.",0,"Cost accounting definition — financial, out of scope"
15,H&M,fashion,greenwashing,"Our financial strength and longterm perspective enable us to invest in improvements to the customer offering and shopping experience, and to drive innovation all along the value chain. AI and data To strengthen our business we are increasing the integration of AI and data into ongoing operations. Advanced analytics give us valuable insights into customer behaviour, enabling us to optimise inventory management, streamline the supply chain and strengthen our core business. Ambitious long-term targets We have three long-term targets that clarify our priorities and our commitment to balancing profitable growth with environmental and social responsibilities. These ambitious long-term targets guide our efforts towards sustainable and profitable growth over time.",1,AI/innovation language with vague sustainability mention — no claim
16,H&M,fashion,greenwashing,"This corresponds to around 102,243 tonnes of CO₂e. Material shifts related to our resource use and inflows In alignment with our overall business idea and climate transition plan, we have set targets to increase the use of recycled and sustainably sourced materials in our products and packaging. These targets and associated actions are presented in more detail in ‘Resource use and circular economy’ on page 89. _Action: Increasing use of recycled and sustainably sourced materials_ The extraction and production of raw materials such as cotton and wool generates GHG emissions, consumes water and impacts ecosystems. During 2025, we have therefore taken action to increase the use of recycled and sustainably sourced materials in our products and packaging.",2,"102,243t CO2e figure given but material targets without progress data"
17,H&M,fashion,greenwashing,"business partners to set efficient guidelines and training and and sustainability This could lead to injuries and fatal accidents when for are monitoring the risk level in different locations and business commitment example moving products and goods. partners to help the organisation proactively address any high- risk areas. We carry out security audits to check our safety measures are in place. In addition, we carry out on-site visits to warehouses and self-assessments. Forced labour in the value chain Workers employed in sectors related to the extraction and To address this matter, we have set strict contract conditions H&M Group’s processing of raw materials may experience poor working in our sustainability commitment and monitor our business human rights policy conditions. This includes being coerced into working under partners through audits and grievance channels.",0,Corrupted PDF extraction — out of scope
18,H&M,fashion,greenwashing,"All activities classified as European Union (NACE): G47.5 – Retail sale of other household equipment in specialised stores. Energy consumption per net revenue for own operations Energy consumption per net revenue1 for own operations --2025 2024 2023 2019 Energy intensity per net revenue (MWh/SEK m) 5 5 5 8 1. Net revenue used to calculate intensity values was SEK 228,285 m, as reported in the consolidated financial statements. GHG intensity per net revenue (tonnes CO2e/SEK m) GHG intensity per net revenue1(tonnes COe/SEK m) --2 Comparison Comparison 2025 2024 2023 2019 (2025/2024 %) (2025/2019 %) Total Scope 1 emissions intensity value 0.07 0.07 0.07 0.10 2.9 –23.6 Total location–based Scope 2 emissions intensity value 1.48 1.59 1.60 2.83 –7 –47.7 Total market–based Scope 2 emissions intensity value 0.11 0.12 0.17 0.21 –9.4 –47.4 Total Scope 1 and Scope 2 market–based emissions 0.18 0.19 0.24 0.31 –4.8 –39.8 Total Scope 3 emissions intensity value 30 33 32 44 –10.1 –31.6 Total Scope 3 emissions excluding use–phase emissions intensity value 21 24 23 32 –11.2 –33.4 Total GHG emissions (location–based) per net revenue 31 35 33 47 –10 –32.6 Total GHG emissions (market–based) per net revenue 30 33 32 44 –10.1 –31.7 1. Net revenue used to calculate intensity values was SEK 228,285 m, as reported in the consolidated financial statements.",0,NACE classification and energy intensity table — out of scope
19,H&M,fashion,greenwashing,"Once operational, the mechanism will facilitate regular and informed engagement with affected communities through the proxy, ensuring that their perspectives are systematically considered in impact assessments and mitigation strategies. It will also create a structured feedback loop that integrates community concerns into our decision-making processes, enhancing the relevance and effectiveness of our sustainability efforts. Responsibility for overseeing the development, implementation, and continuous improvement of this engagement mechanism lies with the chief sustainability officer. We aim to assess the effectiveness of this mechanism once it is fully established and operational, focusing on the extent to which community input is reflected in our impact assessments and mitigation strategies, as well as the responsiveness and transparency of our feedback processes. Read more about our process for remediating negative impacts on page 101.",2,Community grievance mechanism described as future plan — aspirational
20,Zara,fashion,greenwashing,"- / We are committed to the responsible design of our garments and the careful selection of raw materials, which allows us to source materials and textile fibres through lower-impact production systems. - / In accordance with the internationally accepted ‘Five Freedoms’ of animal welfare , products of animal origin must come from animals treated ethically and responsibly. > 31 More information on the criteria that fibres or materials must meet to be classified as having a lower impact in annex _Detailed information. Methodology_ of this Report. 32 This commitment is reflected in our Sustainability Policy, which refers to the international organization recognized as a reference in animal welfare.",1,Vague responsible design and lower-impact production — no metrics
21,Zara,fashion,greenwashing,"Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 92 INDITEX GENERAL E. ENVIRONMENTAL AT A GLANCE INFORMATION INFORMATION S. SOCIAL G. Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 93 GENERAL INFORMATION E. ENVIRONMENTAL S. SOCIAL G. AT A CEO's statement In a year marked by heightened uncertainty, the Inditex Group managed to post continued earnings growth and shore up its ability to deliver solid growth in the long term. The key to this performance remains anchored in our unique business model, in which it is our customers who determine our brands’ priorities. The agility with which we tailor the product offering and experience provided by our sales channels for their preferences, coupled with operations characterised by disciplined spending, explains these highly satisfactory results: sales growth across all our retail formats and margin expansion all down our income statement.",0,Table of contents/report structure — out of scope
22,Zara,fashion,greenwashing,"Since 2009 we have certified certain centres according to the most recognized standards (LEED/BREEAM). / We continue to certify our facilities in Spain to the ISO 50001 international standard, which distinguishes efficient and sustainable energy management processes. / Two LEED Platinum, 14 LEED Gold, two LEED Silver, one LEED CI Certified and one BREEAM certifications; covering various new constructions and renovations across a significant portion of our own distribution centres and headquarters. / 28 ISO 50001 certifications. Own stores / We are constantly reviewing our store construction standards to align them with best practices and implement new programmes for continuous improvement in sustainability, which allows us to optimise their energy consumption as compared with conventional design and construction practices. / Seven stores with LEED Platinum certification, 33 with LEED Gold certification and one with BREEAM certification out of a total of 5,460 stores. / 87% of our own stores connected to the central Inergy platform, which allows us to monitor and optimise energy consumption in order to boost energy efficiency. iMore information on the related financial resources in the Acquisition and ownership of buildings’.",2,Specific LEED/BREEAM certifications listed with counts — partially substantiated
23,Zara,fashion,greenwashing,"Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 226 GENERAL INFORMATION E. ENVIRONMENTAL INFORMATION S. SOCIAL G. AT A GLANCE In 2025, Inditex total tax contribution was 9,924 million euros, corresponding to Spain 2,591 million euros, which represents a 26% of the total. This percentage, much higher to the one that represents the sales of Spain (16%), is consequence of the ‘headquarters effect’ associated to the development in Spain of the design and distribution of products at a global level activities. Tax contribution €9,924 M total tax contribution €4,267 M direct taxes €5,657 M collected taxes €2,591 M Spain 2025 Taxes Dir Coll* Total 1,201 1,390 €5,322 M Europe (ex-Spain) 2025 Taxes Dir Coll* Germany 74 395 Belgium 27 144 France 215 575 Greece 30 187 Italy 162 540 The Netherlands 253 168 Poland 39 194 Portugal 53 291 United Kingdom 153 283 Romania 21 120 Switzerland 143 20 Türkiye 418 156 Other 168 493 Total 1,756 3,566 €1,560 M Americas €451 M Asia and rest of the world 2025 Taxes Dir Coll* 2025 Taxes Dir Coll* Brazil 143 146 Australia 15 23 Canada 68 44 China 39 63 United States 427 215 South Korea 42 12 Mexico 375 90 Japan 38 38 Other 30 22 Kazakhstan 36 8 Total 1,043 517 Other 97 40 Total 267 184 --Direct taxes Collected taxes Direct taxes paid (in million euros) Direct taxes paid (in million euros) Taxes collected (million euros) Taxes collected (million euros) --Geography 2025 2024 2025 2024 Americas 1,043 980 517 529 Asia & Rest of the world 267 295 184 191 Spain 1,201 1,122 1,390 1,121 Europe (ex-Spain) 1,756 1,728 3,566 3,375 Total 4,267 4,125 5,657 5,216 Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 227 INDITEX GENERAL AT A GLANCE INFORMATION E. ENVIRONMENTAL INFORMATION S. SOCIAL G. Disclosure pursuant to article 8 of Regulation (EU) 2020/852 (Taxonomy Regulation) As indicated in section _Taxonomy Regulation_ the Inditex Group is subject to Regulation (EU) 2020/852 on EU Taxonomy (hereinafter ‘Taxonomy’), which stipulates a series of obligations with regard to the disclosure of information relating to ‘environmentally sustainable’ activities.",0,"Tax contribution data — financial, out of scope"
24,Zara,fashion,greenwashing,"In 2025, we focused on training store staff, who have direct contact with customers, and on certain operations, also involving their personal data. / We have trained 83% store staff in 31 markets in 2025 through a biennial training program that will continue to be implemented progressively throughout 2026. / We have worked on cases that could potentially affectcustomers' personal datain order to determine whether a security breach had occurred and, if so, whether it was necessary to notify the data protection authorities and/or the affected persons. / In response to these cases, the necessary action plans have been put in place to avoid a recurrence in the future. / In 2025, two cases affecting personal data security occurred where the Company deemed it necessary to notify the data protection authorities (four cases in 2024) in which the affected persons were also informed of the situation. S4-4_17 We therefore take into account the path outlined by the UN Sustainable Development Goals (SDGs) in designing our actions in relation to customers contributing mainly to SDG 12.",2,83% staff trained — specific figure but not environmental claim
25,Zara,fashion,greenwashing,"/ 11,506 MWh of electric power generated in 2025 (9,962 MWh of electric power generated in 2024). i More information on the related financial resources in the _Taxonomy_ section of this Report, under activities ‘4.3 - Electricity generation from wind power’ and ‘7.6 - Installation, maintenance and repair of renewable energy technologies’. Likewise, amounts related with these activities are included in CapEx reported in _Note 14,_ _Property, plant and equipment_ in Consolidated Annual Accounts. Power purchase agreements Related IROs: E1.I2 / E1.R1 Time horizon: ongoing action Scope: / Own operations / We foster the launch of new renewable energy sources in our own operations throughpower purchase agreements (PPA). / We have virtual Power Purchase Agreements (VPPA) spanning 12 years, with a total installed capacity of 98 MW. In 2025, the facilities linked to these VPPA entered into service, and are now contributing to the supply of renewable electricity.",2,"11,506 MWh renewable generation — specific figure, partially substantiated"
26,Zara,fashion,greenwashing,"Action Description Results Description Results --Collaboration initiatives to implement measures and technologies derived from innovation Related IROs: E2.I1 / E2.I2 / E2.R1 Time horizon: ongoing action Scope: / Value chain / Initiatives for the development and implementation of various innovative measures and technologies, co-developed by the Group through industrial research partnerships with organisations such as BASF, CHT, Pulcra or Jeanologia among others. / This innovation and development network aims to demonstrate that new measures and technologies work on an industrial scale. Main research initiatives in 2025: / The Circular Dyeing by Inditex, for the design of circular dyeing systems / The Chemicals by Inditex, focused on the use of chemicals / The Microfibers DNA by Inditex, and the Air Fiber Washer, linked to the challenge posed by microfibres. / The Mill by Inditex: an initiative aimed at evidencing the technological and economic viability of adopting solutions to reduce GHG emissions, water, waste and microfibres. / This year, we have worked with facilities in Morocco and Portugal. i More detail on R&D+i initiatives in the document _Innovation, collaboration and continuous improvement for product safety,_ available on Inditex’s corporate website.",2,Innovation initiatives described without outcome metrics — process not outcome
27,Zara,fashion,greenwashing,"Special attention is paid to consumers who depend on accurate and accessible information on our products and their components, and to the most vulnerable users or those at greater risk of being harmed, like children. Continuous dialogue with the customers themselves and our various partner organisations allows us to integrate their perspective into the Company’s operations. Type of cases handled 2025 2024 --Pre-purchase (product availability, special collections, customisation, purchasing process, checkout and sustainability, 15% 26% among others) Post-purchase (order status, shipments, delivery times, changes and returns, gift 80% 70% cards, among others) Customer Service (customer account, web/app, channels, social media, among 5% 5% others) Complaints and claims (includes any customer feedback, as well as formal 0.03% 0.02% complaints) The claims figure includes complaint forms and claim procedures processed in Spain through official consumer complaint and response mechanisms, which in 2025 totalled 6,781 (6,924 cases processed in Spain in 2024). The main reason for these complaint forms is related to product returns and exchanges, and store and online sales. Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 181",0,"Consumer protection and dialogue — governance, out of scope"
28,Zara,fashion,greenwashing,"Stakeholder involvement ; E2. ; E3. ; E4. ; E4. ; E4. ; E5. Our stakeholders —both internal and external— play a very important role during the materiality process: - / In the course of our activity, we collaborate with organisations specialised in a range of fields. This gives us valuable insight into the potential impacts Inditex might have on the environment and people. The lessons drawn from these partnerships are woven into our materiality assessment. Financial materiality ; ; ; To determine the financial materiality of the risks and opportunities, we have aligned with the parameters and metrics used in the process of identification and assessment of the Risk Map, which is a cornerstone of the Group’s Integrated Risk Management System (IRMS). Thus, we assess the scale of the financial effect by simulating the cash flow at risk for different time horizons, which we obtain by entering estimates of the financial variables from the Company's income statement, such as those related to revenues and routine costs.",0,Materiality stakeholder process description — out of scope
29,Zara,fashion,greenwashing,"Impacts, risks and opportunities A. Materiality [ ; ] Through our materiality assessment, we identify material impacts, risks and opportunities (IROs) to outline in this Report. ; ; ; E1. ; E2. ; E3. ; E4. ; E4. ; E5. We conduct this exercise with a double materiality approach, examining both our potential impacts on the surrounding (impact materiality) and risks and opportunities for our Company (financial materiality). We thus apply a methodology based on the European Sustainability Reporting Standards (ESRS), IG1 _:_ Materiality Assessment Implementation Guidance _,_ and the guidelines provided in the various supporting documents and recommendations provided by the European Financial Reporting Advisory Group (EFRAG). i More information in annexes _Table of contents required by Directive 2013/34/EU_ and _Table of contents of information deriving from other EU legislation_ of this Report. Furthermore, in connection with environmental topics, we have taken the LEAP approach (Locate, Evaluate, Analyse and Prepare) as a reference and have used various scientific databases and indices .",0,Double materiality assessment methodology — out of scope
30,Zara,fashion,greenwashing,"Category 2: Capital goods: Emissions are calculated based on investment in property, plant and equipment, applying the corresponding emission factor according to the type of investment and the market in which it is made. The emission factors used are provided by Risilience, academic partner of the University of Cambridge’s Centre for Risk Studies. Risilience, academic partner of the University of Cambridge’s Centre for Risk Studies. Not applicable. Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 211 GENERAL INFORMATION E. ENVIRONMENTAL INFORMATION S. SOCIAL G. AT A Description Metric Scope Methodology Information source Emission factor Change of criterion/ methodology --- --Category 3: Fuel-and energy-related activities. To calculate this category, scope 1 and 2 energy consumption is used. According to the energy source and its origin, the corresponding emission factor is applied. IEA (2025), Emission Factors DEFRA (Department for Environment Food & Rural Affairs), 2025. Not applicable Category 4 :Upstream transportation and distribution. These emissions are calculated based on the tonnes, distance and means of transport used to distribute our products. GLEC (Global Logistic Emissions Council Framework for Logistics Emissions Accounting and Reporting) emission factors are used.",0,Scope 3 emission factor methodology — out of scope
31,Zara,fashion,greenwashing,"In 2025, we validated the assessment conducted in 2024 through working groups with the various specialised in-house areas, as well as a review by Group’s Management. Impact materiality We gauge impacts according to their severity, which in turn is composed of three parameters: their scale, scope and irremediable nature —the latter in the case of negative impacts—. Each of the parameter is assessed by a classification from one to four, with one being the lowest value. We also assess the probability of potential impacts according to a fivetier scale. This assessment is made without taking into account possible mitigation measures already in place.",0,Materiality assessment validation process — out of scope
32,Zara,fashion,greenwashing,"(2) Includes the lack of suitable systems for registering and communicating with workers. ¢ Over 90% p Between 70% and 90% ò Between 50% and 70% u[Less than 50%] / Environmental audits Compliance with our Green to Wear standard, targeting facilities that carry out processes with higher environmental impact, is regularly verified through environmental audits. In 2025, 1,875 environmental audits were carried out (2,029 in 2024). These audits are mostly conducted by external auditors in announced visits during which documentation is reviewed and, where applicable, waste water samples are analysed. The results are shared with the rest of the sector within the framework of our collaboration with Zero Discharge of Hazardous Chemicals (ZDHC).",2,90%+ environmental audit compliance — specific figure but scope unclear
33,Zara,fashion,greenwashing,"Periodically, the Compliance department reports to the Audit and Compliance Committee on the activity of the Ethics Line and the development of the cases submitted through it. Thus, the concerns received through the Ethics Line are monitored and controlled and their effectiveness is guaranteed. During 2025, the Ethics Line recorded a total of 1,164 concerns (791 concerns in 2024), 447 related to our people (280 in 2024) and 124 related to our value chain. The following are the concerns received by topic, in accordance with the compliance risks taxonomy: Concerns received by topic 2025 2024 --Human rights, people and culture (harassment and discrimination) 231 200 Labour rights, health and occupational safety 678 419 Preventing corruption and bribery(1) 59 44 Planet and environmental protection 0 14 Protection of assets and security in legal transactions 3 1 Fraud prevention in public administration 0 0 Data protection and privacy 2 0 Queries 94 67 Others 97 46 Total number of concerns 1,164 791 (1) Including cases related to potential behaviours of taking advantage of the position in Inditex to obtain personal business opportunities or other benefits, fraud or noncompliance with procedures. Inditex Group Annual Report 2025 / Consolidated Statement of Non-Financial Information and Sustainability Information 190",0,Ethics line governance reporting — out of scope
34,Zara,fashion,greenwashing,"In this regard, we develop initiatives to minimise the impact of the facilities of our supply chain as part of the Supply Chain Environmental Transformation Plan 2024-2027. In addition, we work continuously on innovation in materials and processes to reduce their impact on the environment and people, within the framework of our Fibres Plan. The related actions are explained in detail in standards E1, E2, E3 and E5, in sections: _C. Actions related to climate change [E1-3]_ , _B. Actions related to pollution [E2-2]_ , _C.",1,Vague minimise impact and innovation in materials — no outcomes
35,Zara,fashion,greenwashing,"The findings of that assessment are reported to the Sustainability Committee, which must then ensure they are taken into account in the aforementioned sustainability reporting. The result of this double materiality assessment is also considered by the Company's management when identifying sustainability impacts, risks and opportunities and defining its strategies and action plans. These issues, in turn, shape the agenda of matters addressed by Inditex's corporate bodies and, in particular, by the Board of Directors. It is also important to note that this Advisory Committee is responsible for conveying stakeholders’ expectations and demands in the field of sustainability. For its part, in the framework of its oversight and risk assessment mandate, for an adequate risk control —including of those relating to sustainability matters— the Audit and Compliance Committee's agenda is planned annually with a view to overseeing the most salient risks for the Company, in accordance with the updated performance report, and as identified in the Group's Risk Map.",0,"Sustainability committee reporting process — governance, out of scope"
36,Zara,fashion,greenwashing,Climate change E1. Climate change 125 E1. Integration of sustainability-related performance in incentive schemes . Policies related to climate change [E1-2] 106 E1-1. Transition plan for climate change mitigation .,0,Report table of contents — out of scope
37,Zara,fashion,greenwashing,- / Improving the capacity of climate change adaptation and mitigation. - / A cross-cutting approach in which we acknowledge the need to protect and restore nature and all its resources as part of the contribution to climate change mitigation. - / The commitment to a fair transition. i More information on our policies and their updates in section _MDRP. Policies_ and in annex _Detailed information.,1,Vague climate adaptation commitment language — no metrics or targets
