annotation_id,brand,industry,role,text,label,notes
10,H&M,fashion,greenwashing,"To achieve this, we have embedded the prinhow we collaborate with our suppliers to how we interact with our customers. ciples of responsible business conduct in our overall strategy, which we apply We have established a culture of innovation and entrepreneurship, with an through clear policies and procedures. This starts with the board of directors, ability to scale great ideas to the benefit of millions of people. Our values are who has the utmost responsibility to ensure ethical and responsible business at the centre of our culture, to ensure we act ethically and with integrity, to conduct within all our brands and operations. More information about the role do what matters most to our customers and our future. We aim to empower and expertise of the board of directors and the executive management team our customers around the world to express themselves through fashion and relating to business conduct matters is disclosed on page 63. Management of material sustainability matters Description of matter Actions and initiatives Related policies Corporate culture and ethical business conduct We have an impact on our employees and partners through To address this matter, we foster an inclusive corporate culture H&M Group’s a strong corporate culture where we make it a rule to always grounded in respect for human rights and ethical business code of ethics act with integrity. By prioritising ethical business behaviour, behaviour. Guided by the document ‘Our way’ and our code and ‘Our way’ we take our social and environmental responsibility seriously, of ethics, we empower employees to act responsibly and fostering a culture of integrity and collective action within contribute to a safe and inclusive workplace. the textile and fashion industry.",1,
11,H&M,fashion,greenwashing,"Packaging and operational waste primarily where resale is offered compared with total selling markets. Other operational waste (%)2 10 consists of paper and cardboard, plastics, and cleaning products. Garment collection Garments collected through H&M Group’s in-store Garment Collect proHazardous and non-hazardous waste gramme in selected brands and markets. Garments collected through COS Hazardous Non-hazardous and franchise operations are excluded. Total weight of garments collected 2025 Tonnes % Tonnes % is calculated based on actual weight of goods from H&M Group’s Garment Waste diverted from disposal 64 52 49,871 91.3 Collect programme. The end activity share is calculated based on average distribution of each sorting facility and assumes that goods sorted on behalf to preparation for reuse 0 0 2,594 4.7 of H&M Group are redirected to the same extent and to the same end activity to recycling 56 46.2 47,240 86.4 as all other goods processed in the facility. Due to challenges in extracting to other recovery operations 7 5.9 37 0.1 data from the local partner, Iceland is not included in the 2025 reporting. Iceland represents a very small share of total volumes, and its exclusion Waste directed to disposal1 59 48 4,773 8.7 does not materially affect the reported results. by incineration with energy or recovery 29 24 2,681 4.9 by incineration 24 19.4 582 1.1 by landfill 1 0 1,296 2.4 by other disposal operations 5 3.7 214 0.4 Total 122 0.2 54,644 99.8 1. Waste is only directed to disposal when considered hazardous waste, if contaminated, or if there is no viable recycling or downcycling solution.",0,
12,H&M,fashion,greenwashing,"alternative approach they have adopted. The full Code is available at corporategovernanceboard.se. During the 2025 financial year H&M Group Examples of external regulations and frameworks include: Corporate did not deviate from the Code. Listed companies in Sweden must be aware of the following aspects of • Accounting legislation, including the Swedish Bookkeeping Act corporate governance: and Annual Accounts Act • EU Market Abuse Regulation (MAR) • The nomination committee plays a key role. Unlike the Anglo-American • Nasdaq Stockholm Rules for Issuers system, members of the nomination committee are appointed by the • General Data Protection Regulation (GDPR) company’s largest shareholders. The nomination committee proposes governance • Swedish Companies Act the size of the board of directors and who should be elected to the board • Corporate Sustainability Reporting Directive (CSRD) of directors at the annual general meeting (AGM). Members of the board of directors are elected by all shareholders eligible to vote at the AGM. • Swedish Corporate Governance Code (the Code) This means the nomination committee has a decisive influence over who • UN Guiding Principles on Business and Human Rights is elected to the board of directors. The nomination committee also re - • COSO framework for internal control and risk management commends the appropriate level of board of directors’ fees, as well as fees to the company’s auditor. The process for appointing members to Within the area of sustainability H&M Group reports in line with existing legisthe nomination committee is decided by the AGM.",2,Regulatory compliance listing — not an environmental claim.
13,H&M,fashion,greenwashing,"to exercising the right to freedom of association, such as freedom of association by supporting workplace dialogue human rights policy restrictions on union formation, intimidation, or lack of access programmes and strengthening the presence of democratically and sustainability to effective social dialogue. This limits their ability to negotiate elected worker representatives in factories. Since 2015, we commitment for better working conditions, adequate wages, and improved have upheld a global framework agreement (GFA) to support Management of material sustainability matters benefits, which can affect workers’ wellbeing. workers in having trusted representatives to raise work-related concerns and engage in meaningful dialogue. Description of matter Actions and initiatives Related policies Secure employment of value chain workers Health and safety of workers in the value chain (Tier 3 and 4) Many workers in our supply chain, particularly in sectors such To address this matter, we require our suppliers to meet our H&M Group’s as manufacturing and warehousing, may face temporary, standards, including fair terms and conditions and protection human rights policy Workers in the raw material extraction, processing and textile To address this matter, we have strengthened due diligence H&M Group’s contract-based or seasonal work, which can lead to job in - against unpredictable hours or reduced earnings. In addition, and sustainability production industry may be exposed to highly hazardous and continue collaborating with multi-stakeholder initiatives to human rights policy security and inconsistent income. This lack of job stability all workers must have a contract in a language that they commitment pesticides and substances, and operate in unsafe working address health and safety concerns. Our raw material sourcing and sustainability can affect workers’ financial wellbeing, mental health, and understand. conditions. This could impact their physical and psychological strategy and targets are designed to contribute to minimising commitment overall quality of life.",2,Supply chain labour content (social) — no clear environmental claim.
14,H&M,fashion,greenwashing,"These cover physical risks such as Policies related to water use water scarcity, flooding, droughts, and water quality degradation, as well as To manage matters related to water we are guided by our environmental regulatory and reputational risks. The tool enables us to map site-specific policy, which commits us to reducing negative environmental impacts Freshwater usage in the supply chain exposures by overlaying supplier and operational locations with basin risk and collaborate with stakeholders to manage water sources. The policy Targets (%) data, providing clear insights into current and projected risks under different addresses water use, water treatment, and pollution prevention. Further- 2025 2024 Baseline (2022) 2030 climate conditions. more, our water management instruction supports our efforts to monitor Total water usage (m3) in the supply chain 41,238,915 46,476,830 48,006,918 To further support forward-looking risk management, we conducted a water consumption, ensure wastewater quality standards, and report waterqualitative climate-related scenario analysis in 2024 covering an assessment related data in a consistent manner. While we have not adopted dedicated Water recycled and reused (m3) in the supply chain 8,357,642 8,546,346 5,399,807 of physical water-related risks along our value chain. The scenario analysis policies on oceans and seas, H&M Group supports the protection of arctic Percentage of absolute reduction in freshwater usage in Tier 1 and 2 wet processing units revealed exposure to water scarcity risks in our upstream supplier regions, ecosystems and local communities by signing the Arctic Corporate Shipping compared to 2022 (%) 22.8 11 Baseline –30 although no individual risk was determined to be financially material at the Pledge. In addition, our sustainability commitment, which must be signed Percentage of recycled water used in Tier 1 and 2 wet processing units (%) 20.3 18.4 11.3 H&M group level. Furthermore, we examined the resilience of our business by all business partners, sets binding requirements for water management. model and key supplier investments under future climate-related scenarios These include metering and quarterly reporting of withdrawals, separate where water scarcity would be a reality.",0,
15,H&M,fashion,greenwashing,"BUSINESS MODEL Driven by design, quality and creativity H&M Group’s brands are united by the ambition to make fashion and design available to everyone. With a flexible and strong business model and a broad brand portfolio, we continue to drive the fashion industry forward through innovation, entrepreneurship and customer focus. H&M Group is a global family of fashion and lifestyle A seamless customer experience brands. Our ambition is to give people all over the world Our creative design teams create collections that meet the opportunity to express their personal style – without trends and customer needs. Our omni-channel model compromise. Through our purpose Liberating fashion blends physical and digital s hopping to create an in for the many we challenge restrictive norms and exorbi- spiring, smooth and seamless customer experience. tant prices, all while working to minimise our impact Our stores are more than points of sale – they are meeting on people and the environment. places where people can be inspired, explore their style Our business idea – fashion and quality at the best and experience our brands in a personal way. price in a sustainable way – is the basis of everything We are continuing to invest in both physical and digital we do. Our key strategic areas are an elevated product channels, in order to provide customers with a flexible offering, an improved shopping experience and deve l- and accessible shopping experience – whenever and opment of our brands.",1,
16,H&M,fashion,greenwashing,"Alongside offervalue for money, and a seamless and inspiring shopping ing good products, an elevated omni-channel experience in all channels. experience is crucial – both to meet customers’ With an increasingly strong foundation, a plan that expectations and for our future development. works and thanks to our employees’ commitment, we are well prepared to continue to deliver profitable growth, reduce our climate emissions and continue to develop an offering that exceeds our c ustomers’ expectations. Daniel Ervér CEO H&M Group 2. Scope 3 excludes the use of sold products. 12 13 MARKET DRIVERS An ever-changing global market New ways of consuming, smart tech and changing consumer Market be haviours continue to reshape the fashion industry. In a world where trends are moving ever faster, quality, price, availability, s ustainability and presence in the right channels are becoming decisive. With a and strategy deep understanding of customers’ needs and a f lexible organisation, H&M Group quickly adapts to new c onditions and opportunities. The apparel industry is a growing, constantly evolving Technology brings new opportunities global market with an estimated value in 2025 of around Digitalisation and the development of tech continue USD 1.85 trillion.",1,
17,Zara,fashion,greenwashing,"INDITEX GENERAL E. ENVIRONMENTAL S. SOCIAL G. GOVERNANCE ANNEXES INDEPENDENT AT A GLANCE INFORMATION INFORMATION INFORMATION INFORMATION VERIFICATION REPORT Business model /Shareholders: we implement a policy of transparent and fluid communication. Our shareholder remuneration policy aims to offer an SBM-1_25 attractive and sustainable dividend over time. Our business model covers all the stages, including the design of our products and their sale in our stores and online platforms. This /Environment: we have various strategies and initiatives aimed at business model is based on four drivers, with the aim of generating minimizing our impact on the environment —for example, by maximum value for our customers, investors and other stakeholders: consuming renewable energy, reducing water consumption and using lower-impact fibres5 in our garments— easing the pressure on • A fashion proposal built on creativity, innovation, quality and, above resources. all, on permanently listening to the needs and wishes of our customers. /Society: we collaborate with various stakeholders to promote the well-being of the communities where we operate and of society as a • An increasingly engaging shopping experience. whole. • Our responsibility and commitment to sustainability. Within this framework, we have a robust community investment program through which we have allocated 175 millions of euros in • Our people’s talent. 20256 (134 millions of euros in 2024) in a number of non-profit initiatives, SBM-1_26 through financial contributions, in-kind donations and time dedicated Our fashion proposal requires the commitment of all those involved by our employees.",1,
18,Zara,fashion,greenwashing,"In addition, we have set targets for water consumption in the supply chain, use of lower-environmental-impact raw materials19 and circularity services that help us progress towards our goals of reducing emissions and fighting climate change. Initiatives in own operations Lower-impact consumption i More information on our sustainability targets in section A. Strategy, We are committed to generating and procuring energy from renewable business model and value chain [SBM-1] and in annex Detailed sources to help us reduce our GHG emissions. In this section we information. Methodology of this Report. present the most noteworthy actions of the year, in which we will continue to work going forward, in keeping with our commitments and targets provided in the Climate Transition Plan. In 2025, we have achieved a reduction of more than 436,000 tonnes of GHG in our scopes 1 and 2 with respect to 2018, highlighting the importance of these initiatives in our own operations. We estimate that their implementation by 2030, together with other actions, will allow us to reduce about 34,000 tonnes of GHG with respect to 2018. Moreover, since 2022 we have fulfilled our goal of obtaining 100% of the electricity consumed at our own facilities from renewable sources. Action Description Results Self-consumption /We use photovoltaic and wind power systems to generate /11,506 MWh of electric power generated renewable energy to help meet our energy needs, supporting the in 2025 (9,962 MWh of electric power Related IROs: reduction of the environmental impact and GHG emissions.",0,
19,Zara,fashion,greenwashing,"Carbon footprint /Our Best Available Techniques (BAT) tool, accessible on our Related IROs: corporate website, includes detailed information on different E1.I1 / E1.I2 / E1.R1 decarbonization measures, including consumption monitoring, energy optimization of equipment and processes, and the Time horizon: 2024 - 2027 installation of heat recovery equipment, among others. It also offers regional information on self-generation of renewable electricity, Scope: signing power purchase agreements (PPA), and purchasing certified / Supply Chain renewable electricity from the grid. Use of alternative /To reduce GHG emissions in maritime logistics, our strategy is /More than 98% of the maritime fuels in maritime aimed at prioritising the use of alternative fuels, such as methanol transport of our products has been transport and second-generation biodiesel from waste. covered by fuels from alternative sources. Related IROs: /Accordingly, we have committed to using these fuels to cover at /Agreements with shipping companies E1.I1 / E1.R1 least 90% of our maritime shipping in 2025. MAERSK, Hapag-Lloyd, MSC and CMA Time horizon: CGM. 2025 Scope: /Logistics and distribution - Transport Agreements and collaborations Outside the framework of these actions, we work with numerous In addition, under our framework agreement with the International organisations to address both the causes and the consequences of Apparel Federation (IAF), we continue the collaboration with business climate change. For example, we have signed the Fashion Industry organisations, brands and other players to drive the decarbonisation of Charter for Climate Action (FICCA), led by the United Nations global apparel and textile supply chains. Framework Convention on Climate Change (UNFCCC) or the Fashion Pact. Consequently, in 2025, we unveiled the Apparel and Textile Transformation Initiative (ATTI), an international platform to accelerate Additionally, in the sphere of transport and distribution, we maintain our the transformation of the textile and garment supply chain.",0,
20,Zara,fashion,greenwashing,"The Group has devised third-party payment procedures that • Social CAPs: we carried out 410 CAPs (306 in 2024). indicate the importance of complying with legal and agreed payment deadlines for the proper functioning of the value chain, based on long• Environmental CAPs: we launched 590 CAPs (353 in 2024). term relationships and responsible financial management. Despite the importance for Inditex of accompanying the manufacturers These procedures are mandatory for all the Group’s companies in in the supply chain in improving their social and environmental connection with managing payments with all kinds of suppliers, performance, our commitment to compliance with our standards including suppliers classified as SMEs. They define the payment entails a zero tolerance policy with those who do not show a willingness periods, as well as the payment means. to improve. Therefore, if, after collaboration and support to the factory, critical non-compliance is revealed through an audit, the factory will not G1-6_01; G1-6_02; G1-6_03 be able to continue its commercial relationship with our Company. With regard to payment practices, the most common method of payment to our suppliers is by bank transfer, and the Group also offers its suppliers various financing programmes. /Other continuous improvement tools In addition to the CAPs, our Company implements various In addition, specifically focusing on the suppliers across our supply improvement and support initiatives for manufacturers, such as those chain, we belong to ACT (Action, Collaboration, Transformation) and developed as part of the Workers at the Centre strategy. In 2025 we adhere to its five specific commitments in connection with responsible also continued with our improvement plans, as part of our Supply Chain purchasing practices, that include agreeing and respecting fair Environmental Transformation Plan, with a particular emphasis on payment conditions and, therefore, respecting the established payment water, discharges, management of chemical products and energy.",0,
