passage_id,brand,scope,knn_prob,tfidf_prob,flagged_text,neighbor_rank,neighbor_label,neighbor_dist,neighbor_brand,neighbor_text
2948,Patagonia,unclear,1.0,0.4408,"What had once been treated as operational infrastructure has turned into a potential catalyst for change. We began the work of aligning our financial partnerships with our climate goals and values. Since 2018, we’ve moved most of our financing to a handful of large banks that can handle our global needs and are making steady progress on climate. We chose them because of the steps they are taking to move away from fossil fuels and their willingness to work with us. When we can, we also put some o",1,greenwash-risk,0.4297,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
2948,Patagonia,unclear,1.0,0.4408,"What had once been treated as operational infrastructure has turned into a potential catalyst for change. We began the work of aligning our financial partnerships with our climate goals and values. Since 2018, we’ve moved most of our financing to a handful of large banks that can handle our global needs and are making steady progress on climate. We chose them because of the steps they are taking to move away from fossil fuels and their willingness to work with us. When we can, we also put some o",2,greenwash-risk,0.4441,Ralph Lauren,"We can be stewards of the natural world for generations to come and operate an enduring business by embracing practices that lighten our footprint and protect biodiversity. This not only includes creating products more thoughtfully, but it extends to how we operate our business: transitioning to ren"
2948,Patagonia,unclear,1.0,0.4408,"What had once been treated as operational infrastructure has turned into a potential catalyst for change. We began the work of aligning our financial partnerships with our climate goals and values. Since 2018, we’ve moved most of our financing to a handful of large banks that can handle our global needs and are making steady progress on climate. We chose them because of the steps they are taking to move away from fossil fuels and their willingness to work with us. When we can, we also put some o",3,greenwash-risk,0.4613,Ralph Lauren,"16 2025 GLOBAL CITIZENSHIP & & GC&S SUPPLEMENT Climate Increasing climate change risks require a collective effort to make significant reductions to global greenhouse gas (GHG) emissions so we can protect and preserve our planet. To support our decarbonization roadmap and targets, we have defined ke"
3017,Patagonia,supply_chain,1.0,0.4814,"Its name is a nod to founder Yvon Chouinard’s early days forging pitons in his blacksmith’s shop, and that same spirit of handson innovation still drives the work inside. It’s where organic cotton, recycled down and durable water repellent finishes made without intentionally added PFAS got real. It’s where countless more ideas are allowed to fail, evolve and sometimes become the next big thing. Once design, prototyping and field-testing are complete, we work with our supplier partners to build o",1,greenwash-risk,0.4919,Shein,Product Manufacturing Goal On-demand: Avoid overproduction through small batch on-demand business model. Drive positive change in fashion and beyond by rapidly testing and scaling sustainable innovations and impact. - Innovation: Adopt and scale innovation in garment production to reduce waste. Goal
3017,Patagonia,supply_chain,1.0,0.4814,"Its name is a nod to founder Yvon Chouinard’s early days forging pitons in his blacksmith’s shop, and that same spirit of handson innovation still drives the work inside. It’s where organic cotton, recycled down and durable water repellent finishes made without intentionally added PFAS got real. It’s where countless more ideas are allowed to fail, evolve and sometimes become the next big thing. Once design, prototyping and field-testing are complete, we work with our supplier partners to build o",2,greenwash-risk,0.4949,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
3017,Patagonia,supply_chain,1.0,0.4814,"Its name is a nod to founder Yvon Chouinard’s early days forging pitons in his blacksmith’s shop, and that same spirit of handson innovation still drives the work inside. It’s where organic cotton, recycled down and durable water repellent finishes made without intentionally added PFAS got real. It’s where countless more ideas are allowed to fail, evolve and sometimes become the next big thing. Once design, prototyping and field-testing are complete, we work with our supplier partners to build o",3,greenwash-risk,0.4967,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
3023,Patagonia,supply_chain,1.0,0.4916,With validation by our own internal experts and scientific testing—as well as those thirdparty certifiers—we are able to compile and distribute clear and reliable product information that helps our teams make future design and sourcing decisions. Percentage of Supplier Traceability by Material *Most current data as of report publication date Business Unusual Grants & Giving Work in Progress Report Activism Intro 66 Product Our Supply Chain * by Country Transparency in Our Supply Chain Thorough v,1,greenwash-risk,0.352,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
3023,Patagonia,supply_chain,1.0,0.4916,With validation by our own internal experts and scientific testing—as well as those thirdparty certifiers—we are able to compile and distribute clear and reliable product information that helps our teams make future design and sourcing decisions. Percentage of Supplier Traceability by Material *Most current data as of report publication date Business Unusual Grants & Giving Work in Progress Report Activism Intro 66 Product Our Supply Chain * by Country Transparency in Our Supply Chain Thorough v,2,greenwash-risk,0.4476,Ralph Lauren,"We are committed to minimizing downstream impacts where possible and advancing circularity. More information can be found in our Resource Use & Circularity section of this report. Outbound Wholesale and Licensed Product Use Repair, Returns Transportation Retail Operations Phase and End-of-Life 10 Th"
3023,Patagonia,supply_chain,1.0,0.4916,With validation by our own internal experts and scientific testing—as well as those thirdparty certifiers—we are able to compile and distribute clear and reliable product information that helps our teams make future design and sourcing decisions. Percentage of Supplier Traceability by Material *Most current data as of report publication date Business Unusual Grants & Giving Work in Progress Report Activism Intro 66 Product Our Supply Chain * by Country Transparency in Our Supply Chain Thorough v,3,greenwash-risk,0.4494,Everlane,"NEXT STEPS TO PRIORITIZE PROGRESS We hold a deep belief that meaningful progress in social responsibility is built on long-term relationships, continuous learning, and collective action. In our experience, there are three key pathways to driving year-over-year improvement in supplier performance. Fi"
3092,Patagonia,supply_chain,1.0,0.4446,"Environmental Impact Specialist Bennett Ray checks out natural gas boilers at the De Licacy textile mill in Taiwan. Alex Lowther Intro Business Unusual Grants & Giving Work in Progress Report Activism Product 92 “We’re not talking about crazy climate tech and emissions capture and storage, none of what I call the ‘shiny object’ stuff,” Drenner says. “There are non-sexy solves that exist today; they just cost money.” In an industry where prices are sensitive and commitments and contracts between ",1,greenwash-risk,0.39,Shein,"54 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Decarbonise Our Value Chain Our Decarbonisation Journey Ahead As we look towards our net-zero target, we recognise the need not onl"
3092,Patagonia,supply_chain,1.0,0.4446,"Environmental Impact Specialist Bennett Ray checks out natural gas boilers at the De Licacy textile mill in Taiwan. Alex Lowther Intro Business Unusual Grants & Giving Work in Progress Report Activism Product 92 “We’re not talking about crazy climate tech and emissions capture and storage, none of what I call the ‘shiny object’ stuff,” Drenner says. “There are non-sexy solves that exist today; they just cost money.” In an industry where prices are sensitive and commitments and contracts between ",2,greenwash-risk,0.4464,Shein,58 2024 SUSTAINABILITY AND : Our Climate Decarbonise Source Protect Collective Risks and Our Value Responsible Nature and Resilience Impact Chain Materials Biodiversity Source Responsible Materials Understanding Our Material Impacts Understanding our impacts is essential for driving positive change.
3092,Patagonia,supply_chain,1.0,0.4446,"Environmental Impact Specialist Bennett Ray checks out natural gas boilers at the De Licacy textile mill in Taiwan. Alex Lowther Intro Business Unusual Grants & Giving Work in Progress Report Activism Product 92 “We’re not talking about crazy climate tech and emissions capture and storage, none of what I call the ‘shiny object’ stuff,” Drenner says. “There are non-sexy solves that exist today; they just cost money.” In an industry where prices are sensitive and commitments and contracts between ",3,greenwash-risk,0.4745,Ralph Lauren,"16 2025 GLOBAL CITIZENSHIP & & GC&S SUPPLEMENT Climate Increasing climate change risks require a collective effort to make significant reductions to global greenhouse gas (GHG) emissions so we can protect and preserve our planet. To support our decarbonization roadmap and targets, we have defined ke"
